University,Advisor ID,Advisor Academic Rank,Advisor Gender,Advisor Home Country,Advisor Standard Field,Advisor Previous Universities,Advisor Citation Count,Advisor h-index,Advisor Publication Count,Advisor First Paper Year,Student ID,Student Degree,Student Start Year,Student Gender,Student Home Country,Student Previous Universities
Caltech,advisor0,Professor,Male,United States,Computer systems organization,"University of St. Thomas/University of California, Berkeley/University of California, Berkeley",6798,44,307,2002,student0,PHD,2017,Female,United States,Rice University
Caltech,advisor0,Professor,Male,United States,Computer systems organization,"University of St. Thomas/University of California, Berkeley/University of California, Berkeley",6798,44,307,2002,student1,PHD,2010,Female,China,University of Science and Technology of China
Caltech,advisor0,Professor,Male,United States,Computer systems organization,"University of St. Thomas/University of California, Berkeley/University of California, Berkeley",6798,44,307,2002,student2,PHD,2017,Female,United States,University of Nebraska - Lincoln
Caltech,advisor0,Professor,Male,United States,Computer systems organization,"University of St. Thomas/University of California, Berkeley/University of California, Berkeley",6798,44,307,2002,student3,PHD,2011,Male,China,Zhejiang University of Technology
Caltech,advisor0,Professor,Male,United States,Computer systems organization,"University of St. Thomas/University of California, Berkeley/University of California, Berkeley",6798,44,307,2002,student4,PHD,2011,Male,United States,Texas A&M University
Caltech,advisor0,Professor,Male,United States,Computer systems organization,"University of St. Thomas/University of California, Berkeley/University of California, Berkeley",6798,44,307,2002,student5,PHD,2017,Female,United States,Georgia Institute of Technology/Caltech
Caltech,advisor0,Professor,Male,United States,Computer systems organization,"University of St. Thomas/University of California, Berkeley/University of California, Berkeley",6798,44,307,2002,student6,MS,2010,Male,India,"National Institute of Technology, Warangal"
Caltech,advisor0,Professor,Male,United States,Computer systems organization,"University of St. Thomas/University of California, Berkeley/University of California, Berkeley",6798,44,307,2002,student7,MS,2013,Male,United States,Texas A&M University
Caltech,advisor0,Professor,Male,United States,Computer systems organization,"University of St. Thomas/University of California, Berkeley/University of California, Berkeley",6798,44,307,2002,student8,MS,2008,Male,India,Jawaharlal Nehru Technological University
Caltech,advisor0,Professor,Male,United States,Computer systems organization,"University of St. Thomas/University of California, Berkeley/University of California, Berkeley",6798,44,307,2002,student9,PHD,2014,Male,France,Arts et Métiers ParisTech
Caltech,advisor0,Professor,Male,United States,Computer systems organization,"University of St. Thomas/University of California, Berkeley/University of California, Berkeley",6798,44,307,2002,student10,PHD,2017,Male,China,Northwestern University
Caltech,advisor0,Professor,Male,United States,Computer systems organization,"University of St. Thomas/University of California, Berkeley/University of California, Berkeley",6798,44,307,2002,student11,PHD,2017,Male,United States,University of Michigan-Ann Arbor
